18;АЛЬФА-БАНК, 002Р-01;RU000A0ZZEW4;02.08.2018;02.08.2018;BUY;1000,00;24 799;100,0500;6 202,84;99,9990;102,0200;0;24 799;24 811 399,50;6 202,84;24 798 756,76;25 299 939,80;501 183,04;0,00;-12 642,74;0,00;461 509,39;18,61;ДУ-001;СССД_ЦБ
19;АЛЬФА-БАНК, 002Р-01;RU000A0ZZEW4;02.08.2018;02.08.2018;BUY;1000,00;201;100,0500;50,29;99,9990;102,0200;0;201;201 100,50;50,29;200 998,03;205 060,20;4 062,17;0,00;-102,47;0,00;3 740,61;18,61;ДУ-001;СССД_ЦБ
20;АЛЬФА-БАНК, 002Р-01;RU000A0ZZEW4;02.08.2018;02.08.2018;BUY;1000,00;10 000;100,0000;2 500,00;99,9990;102,0200;0;10 000;10 000 000,00;2 500,00;9 999 901,92;10 202 000,00;202 098,08;0,00;-98,08;0,00;186 100,00;18,61;ДУ-001;СССД_ЦБ
21;АЛЬФА-БАНК, 002Р-01;RU000A0ZZEW4;03.08.2018;03.08.2018;BUY;1000,00;1 956;100,0000;489,00;99,9990;102,0200;0;1 956;1 956 000,00;489,00;1 955 980,81;1 995 511,20;39 530,39;0,00;-19,19;0,00;36 401,16;18,61;ДУ-001;СССД_ЦБ
22;АЛЬФА-БАНК, 002Р-01;RU000A0ZZEW4;06.08.2018;06.08.2018;BUY;1000,00;2 500;100,0000;625,00;99,9990;102,0200;0;2 500;2 500 000,00;625,00;2 499 975,48;2 550 500,00;50 524,52;0,00;-24,52;0,00;46 525,00;18,61;ДУ-001;СССД_ЦБ
23;АЛЬФА-БАНК, 002Р-01;RU000A0ZZEW4;06.08.2018;06.08.2018;BUY;1000,00;2 000;99,9700;499,84;99,9990;102,0200;0;2 000;1 999 400,00;499,84;1 999 980,38;2 040 400,00;40 419,62;0,00;580,38;0,00;37 220,00;18,61;ДУ-001;СССД_ЦБ
24;АЛЬФА-БАНК, 002Р-01;RU000A0ZZEW4;06.08.2018;06.08.2018;BUY;1000,00;10 000;99,9500;2 498,76;99,9990;102,0200;0;10 000;9 995 000,00;2 498,76;9 999 901,92;10 202 000,00;202 098,08;0,00;4 901,92;0,00;186 100,00;18,61;ДУ-001;СССД_ЦБ
25;АЛЬФА-БАНК, 002Р-01;RU000A0ZZEW4;07.08.2018;07.08.2018;BUY;1000,00;5 000;99,9500;1 249,37;99,9990;102,0200;0;5 000;4 997 500,00;1 249,37;4 999 950,96;5 101 000,00;101 049,04;0,00;2 450,96;0,00;93 050,00;18,61;ДУ-001;СССД_ЦБ
26;АЛЬФА-БАНК, 002Р-01;RU000A0ZZEW4;17.09.2019;18.09.2019;BUY;1000,00;100 000;100,8000;16 920,00;99,9990;102,0200;0;100 000;100 800 000,00;16 920,00;99 999 019,16;102 020 000,00;2 020 980,84;0,00;-800 980,84;1 039 000,00;1 861 000,00;18,61;ДУ-001;СССД_ЦБ
27;АЛЬФА-БАНК, 002Р-01;RU000A0ZZEW4;23.09.2019;24.09.2019;BUY;1000,00;349 987;100,9000;54 770,53;99,9990;102,0200;0;349 987;353 136 883,00;54 770,53;349 983 567,19;357 056 737,40;7 073 170,21;0,00;-3 153 315,81;4 091 348,03;6 513 258,07;18,61;ДУ-001;СССД_ЦБ
28;АЛЬФА-БАНК, 002Р-01;RU000A0ZZEW4;23.09.2019;24.09.2019;BUY;1000,00;300 000;100,9000;47 205,00;99,9990;102,0200;0;300 000;302 700 000,00;47 205,00;299 997 057,48;306 060 000,00;6 062 942,52;0,00;-2 702 942,52;3 507 000,00;5 583 000,00;18,61;ДУ-001;СССД_ЦБ
